topic_x,time,gyro.x_x,gyro.y_x,gyro.z_x,acceleration.x_x,acceleration.y_x,acceleration.z_x,topic_y,gyro.x_y,gyro.y_y,gyro.z_y,acceleration.x_y,acceleration.y_y,acceleration.z_y
/ouster_top/imu,1763742611.525216,-0.0073236929977179,-0.0075900091067258,0.0,0.1388636962890625,0.3687070556640625,9.698910925292967,/inertial_sense/imu_raw,-0.0012649185955524,-8.960099876276217e-06,-0.0046428283676505,-0.1435495615005493,-0.4005491137504577,-9.77865219116211
/ouster_top/imu,1763742611.535216,-0.0065247446706941,-0.0038615835806148,-0.003195793308095,0.1675941162109374,0.2633621826171874,9.811438403320311,/inertial_sense/imu_raw,0.0012123961932957,-0.0004057539626955,-0.0026116501539945,-0.1355335861444473,-0.3764918744564056,-9.778722763061523
/ouster_top/imu,1763742611.545216,-0.0157126504314675,-0.0151800182134516,-0.0055926382891664,0.1963245361328124,0.354341845703125,9.710881933593749,/inertial_sense/imu_raw,0.0008158960845321,-0.0024271444417536,-0.0017757293535396,-0.1356773376464843,-0.4069134891033172,-9.796160697937012
/ouster_top/imu,1763742611.5552163,-0.010253170196805,-0.0131826473958922,-0.0047936899621426,0.1484405029296875,0.3136404174804687,9.698910925292967,/inertial_sense/imu_raw,-0.0012450218200683,-0.0045081484131515,-0.0030080596916377,-0.153141975402832,-0.438814103603363,-9.77545166015625
/ouster_top/imu,1763742611.5652163,-0.0107858024148209,-0.0075900091067258,-0.0043942157986307,0.201112939453125,0.21068974609375,9.660603698730467,/inertial_sense/imu_raw,0.0004092747985851,0.0016393590485677,0.0006697784992866,-0.1097749769687652,-0.397304892539978,-9.74222469329834
/ouster_top/imu,1763742611.5752163,-0.0087884315972614,-0.0105194863058129,-0.0043942157986307,0.1987187377929687,0.4070142822265625,9.720458740234374,/inertial_sense/imu_raw,-0.0008739434415474,0.0012407114263623,-0.0046489075757563,-0.1545415073633194,-0.4291855990886688,-9.74197769165039
/ouster_top/imu,1763742611.5852168,-0.0186421276305546,-0.0135821215594041,-0.0009321063815277,0.3184288208007812,0.5051765502929687,9.674968908691406,/inertial_sense/imu_raw,0.0004021451750304,0.0024846361484378,-0.0017714963760226,-0.1321286410093307,-0.3989571928977966,-9.746898651123049
/ouster_top/imu,1763742611.5952165,-0.0087884315972614,-0.0073236929977179,-0.0079894832702377,0.0430956298828125,0.3878606689453124,9.725247143554688,/inertial_sense/imu_raw,-0.0020455864723771,0.0008011013269424,-0.0009486585622653,-0.1659245193004608,-0.3765147626399994,-9.78966236114502
/ouster_top/imu,1763742611.6052167,-0.0129163312868843,-0.0099868540877971,-0.0081226413247416,0.1244984863281249,0.1915361328124999,9.773131176757811,/inertial_sense/imu_raw,-0.0029216604307293,0.0012483829632401,-0.0042204922065138,-0.151296928524971,-0.470779150724411,-9.726092338562012
/ouster_top/imu,1763742611.6152167,-0.0078563252157337,-0.0082557993792456,-0.0114515926873407,0.1197100830078125,0.36391865234375,9.648632690429688,/inertial_sense/imu_raw,-0.0024856545496731,0.0012076834682375,-0.0017723080236464,-0.1384132504463195,-0.4643722772598266,-9.718214988708496
